district,x,y
Humla,-223.0,173.0
Darchula,-326.0,146.0
Baitadi,-356.0,116.0
Dadeldhura,-356.0,79.0
Kanchanpur,-381.0,46.0
Bajhang,-289.0,128.00
Doti,-319.0,72.0
Kailali,-322.0,30.0
Bajura,-254.0,107.0
Accham,-276.0,69.0
Surkhet,-254.0,11.0
Bardiya,-272.0,-19.0
Mugu,-167.0,121.0
Kalikot,-238.0,73.0
Jumla,-186.0,82.0
Dailekh,-241.0,39.0
Jajarkot,-198.0,31.0
Salyan,-198.0,-15.0
Banke,-228.0,-48.0
Dolpa,-104.0,67.0
Rukum,-150.0,17.0
Rolpa,-146.0,-21.0
Dang,-170.0,-73.0
Mustang,-35.0,49.0
Myagdi,-71.0,0.0
Baglung,-96.0,-17.0
Pyuthan,-127.0,-49.0
Gulmi,-83.0,-47.0
Agrakanchi,-102.0,-67.0
Kapilvastu,-111.0,-97.0
Manang,9.0,16.0
Kaski,-18.0,-16.0
Parbat,-42.0,-31.0
Syanjga,-32.0,-57.0
Palpa,-53.0,-83.0
Rupandehi,-68.0,-107.0
Gorkha,69.0,-21.0
Lamjung,24.0,-25.0
Tanahu,10.0,-67.0
Nawalparasi,-12.0,-96.0
Dhading,72.0,-72.0
Chitwan,29.0,-107.0
Rasuwa,112.0,-39.0
Nuwakot,103.0,-73.0
Makwanpur,86.0,-115.0
Parsa,64.0,-137.0
Sindulpalchok,156.0,-69.0
Kavre,143.0,-111.0
Bara,88.0,-163.0
Rautahat,108.0,-169.0
Kathmandu,115.0,-89.0
Bhaktapur,124.0,-99.0
Lalitpur,114.0,-113.0
Dolakha,198.0,-89.0
Ramechhap,186.0,-127.0
Sindhuli,168.0,-142.0
Sarlahi,138.0,-171.0
Mohattari,160.0,-185.0
Dhanusa,181.0,-197.0
Solukhumbu,251.0,-95.0
Okhaldhunga,221.0,-135.0
Khotang,252.0,-151.0
Udaypur,240.0,-177.0
Siraha,215.0,-198.0
Saptari,247.0,-216.0
Sankhuwasabha,298.0,-104.0
Bhojpur,284.0,-151.0
Dhankuta,306.0,-172.0
Sunsari,296.0,-205.0
Morang,324.0,-219.0
Taplejung,354.0,-103.0
Tehrathum,327.0,-155.0
Paanchthar,360.0,-153.0
Ilam,360.0,-182.0
Jhapa,366.0,-218.0
