,0
0,Humla
1,Darchula
2,Baitadi
3,Dadeldhura
4,Kanchanpur
5,Bajhang
6,Doti
7,Kailali
8,Bajura
9,Accham
10,Surkhet
11,Bardiya
12,Kalikot
13,Jumla
14,Dailekh
15,Jajarkot
16,Salyan
17,Banke
18,Rukum
19,Dang
20,Myagdi
21,Baglung
22,Pyuthan
23,Gulmi
24,Agrakanchi
25,Kapilvastu
26,Kaski
27,Parbat
28,Syanjga
29,Palpa
30,Rupandehi
31,Tanahu
32,Nawalparasi
33,Dhading
34,Chitwan
35,Rasuwa
36,Nuwakot
37,Makwanpur
38,Parsa
39,Sindulpalchok
40,Kavre
41,Bara
42,Rautahat
43,Bhaktapur
44,Lalitpur
45,Dolakha
46,Ramechhap
47,Sindhuli
48,Sarlahi
49,Mohattari
50,Dhanusa
51,Solukhumbu
52,Okhaldhunga
53,Khotang
54,Udaypur
55,Siraha
56,Saptari
57,Sankhuwasabha
58,Bhojpur
59,Dhankuta
60,Sunsari
61,Morang
62,Taplejung
63,Tehrathum
64,Paanchthar
65,Ilam
